dataid,name,farmerid,area,ton,year
181,Çavdar Tanesi,1,143000,270000,2004
182,Çavdar Tanesi,1,130000,270000,2005
183,Çavdar Tanesi,1,131246,271000,2006
184,Çavdar Tanesi,1,132778,240540,2007
185,Çavdar Tanesi,1,125962,246521,2008
186,Çavdar Tanesi,1,138778,343330,2009
187,Çavdar Tanesi,1,141000,365560,2010
188,Çavdar Tanesi,1,127653,365750,2011
189,Çavdar Tanesi,1,143221,370000,2012
190,Çavdar Tanesi,1,138166,365000,2013
191,Çavdar Tanesi,1,115080,300000,2014
192,Çavdar Tanesi,1,112313,330000,2015
193,Çavdar Tanesi,1,114649,300000,2016
194,Çavdar Tanesi,1,101092,320000,2017
195,Çavdar Tanesi,1,110902,320000,2018
181,Aspir Fasülyesi,1,165,150,2004
182,Aspir Fasülyesi,1,173,215,2005
183,Aspir Fasülyesi,1,431,395,2006
184,Aspir Fasülyesi,1,1694,2280,2007
185,Aspir Fasülyesi,1,5402,7068,2008
186,Aspir Fasülyesi,1,21524,20076,2009
187,Aspir Fasülyesi,1,13500,26000,2010
188,Aspir Fasülyesi,1,13167,18228,2011
189,Aspir Fasülyesi,1,15592,19945,2012
190,Aspir Fasülyesi,1,29292,45000,2013
191,Aspir Fasülyesi,1,44305,62000,2014
192,Aspir Fasülyesi,1,43107,70000,2015
193,Aspir Fasülyesi,1,39571,58000,2016
194,Aspir Fasülyesi,1,27376,50000,2017
195,Aspir Fasülyesi,1,24693,35000,2018
181,Nohut,1,606000,620000,2004
182,Nohut,1,557800,600000,2005
183,Nohut,1,524367,551746,2006
184,Nohut,1,503675,505366,2007
185,Nohut,1,505165,518026,2008
186,Nohut,1,455934,562564,2009
187,Nohut,1,455690,530634,2010
188,Nohut,1,446412,487477,2011
189,Nohut,1,416241,518000,2012
190,Nohut,1,423557,506000,2013
191,Nohut,1,388517,450000,2014
192,Nohut,1,359304,460000,2015
193,Nohut,1,359529,455000,2016
194,Nohut,1,395310,470000,2017
195,Nohut,1,514415,630000,2018
181,Patates,1,177600,5200000,2004
182,Patates,1,152800,5300000,2005
183,Patates,1,157908,4770000,2006
184,Patates,1,152597,4060000,2007
185,Patates,1,147888,4366180,2008
186,Patates,1,142873,4227726,2009
187,Patates,1,138866,4196522,2010
188,Patates,1,142984,4397711,2011
189,Patates,1,172086,4513453,2012
190,Patates,1,125029,4613071,2013
191,Patates,1,129703,3948000,2014
192,Patates,1,153879,4166000,2015
193,Patates,1,144857,4760000,2016
194,Patates,1,142884,4750000,2017
195,Patates,1,135937,4800000,2018
181,Kayısı,1,90000,320000,2004
182,Kayısı,1,92700,860000,2005
183,Kayısı,1,96095,460182,2006
184,Kayısı,1,96766,557572,2007
185,Kayısı,1,102029,716415,2008
186,Kayısı,1,104056,660894,2009
187,Kayısı,1,108053,450000,2010
188,Kayısı,1,112079,650000,2011
189,Kayısı,1,114051,760000,2012
190,Kayısı,1,115613,780000,2013
191,Kayısı,1,116918,270000,2014
192,Kayısı,1,122160,680000,2015
193,Kayısı,1,123805,730000,2016
194,Kayısı,1,125048,985000,2017
195,Kayısı,1,125756,750000,2018
181,Kiraz,1,37650,245000,2004
182,Kiraz,1,43000,280000,2005
183,Kiraz,1,48860,310254,2006
184,Kiraz,1,55511,398141,2007
185,Kiraz,1,59752,338361,2008
186,Kiraz,1,62458,417694,2009
187,Kiraz,1,67046,417905,2010
188,Kiraz,1,66985,438550,2011
189,Kiraz,1,74414,470887,2012
190,Kiraz,1,76459,494325,2013
191,Kiraz,1,79042,445556,2014
192,Kiraz,1,81408,535600,2015
193,Kiraz,1,84746,599650,2016
194,Kiraz,1,85400,627132,2017
195,Kiraz,1,84086,639564,2018
181,Şeftali,1,363500,335000,2004
182,Şeftali,1,374000,465000,2005
183,Şeftali,1,367504,507167,2006
184,Şeftali,1,384672,486473,2007
185,Şeftali,1,384200,502762,2008
186,Şeftali,1,384184,502252,2009
187,Şeftali,1,395787,489845,2010
188,Şeftali,1,379105,492504,2011
189,Şeftali,1,397158,543924,2012
190,Şeftali,1,388187,563686,2013
191,Şeftali,1,390071,531850,2014
192,Şeftali,1,391585,560800,2015
193,Şeftali,1,390152,585210,2016
194,Şeftali,1,390470,664785,2017
195,Şeftali,1,384476,667982,2018
181,Nar,1,65000,73000,2004
