stateid,cityid,city_name
1,1,Adana
4,2,Adiyaman
3,3,Afyonkarahisar
2,4,Agri
6,5,Amasya
5,6,Ankara
1,7,Antalya
6,8,Artvin
3,9,Aydin
7,10,Balikesir
7,11,Bilecik
2,12,Bingol
2,13,Bitlis
6,14,Bolu
1,15,Burdur
7,16,Bursa
7,17,Canakkale
5,18,Cankiri
6,19,Corum
3,20,Denizli
4,21,Diyarbakir
7,22,Edirne
2,23,Elazig
2,24,Erzincan
2,25,Erzurum
5,26,Eskisehir
4,27,Gaziantep
6,28,Giresun
6,29,Gumushane
2,30,Hakkari
1,31,Hatay
1,32,Isparta
1,33,Mersin
7,34,Istanbul
3,35,Izmir
2,36,Kars
6,37,Kastamonu
5,38,Kayseri
7,39,Kirklareli
5,40,Kirsehir
7,41,Kocaeli
5,42,Konya
3,43,Kutahya
2,44,Malatya
3,45,Manisa
1,46,Kahramanmaras
4,47,Mardin
3,48,Mugla
2,49,Mus
5,50,NevSehir
5,51,Nigde
6,52,Ordu
6,53,Rize
7,54,Sakarya
6,55,Samsun
4,56,Siirt
6,57,Sinop
5,58,Sivas
7,59,Tekirdag
6,60,Tokat
6,61,Trabzon
2,62,Tunceli
4,63,Sanliurfa
3,64,Usak
2,65,Van
5,66,Yozgat
6,67,Zonguldak
5,68,Aksaray
6,69,Bayburt
5,70,Karaman
5,71,Kirikkale
4,72,Batman
4,73,Sirnak
6,74,Bartin
2,75,Ardahan
2,76,Igdir
7,77,Yalova
6,78,Karabuk
4,79,Kilis
1,80,Osmaniye
6,81,Duzce
