dataid,name,farmerid,area,ton,year
181,Dolmalık Biber,1,184140,375000,2004
182,Dolmalık Biber,1,189010,400000,2005
183,Dolmalık Biber,1,181104,392617,2006
184,Dolmalık Biber,1,167772,357246,2007
185,Dolmalık Biber,1,170402,371050,2008
186,Dolmalık Biber,1,168780,384273,2009
187,Dolmalık Biber,1,165993,387626,2010
188,Dolmalık Biber,1,158400,364930,2011
189,Dolmalık Biber,1,157876,383213,2012
190,Dolmalık Biber,1,155091,398470,2013
191,Dolmalık Biber,1,151025,391009,2014
192,Dolmalık Biber,1,143626,393109,2015
193,Dolmalık Biber,1,147145,418435,2016
194,Dolmalık Biber,1,141534,420904,2017
195,Dolmalık Biber,1,131351,397175,2018
196,Dolmalık Biber,1,135064,371918,2019
181,Karpuz,1,1170740,3825000,2004
182,Karpuz,1,1165460,3970000,2005
183,Karpuz,1,1090219,3805306,2006
184,Karpuz,1,1082076,3796680,2007
185,Karpuz,1,1096112,4002285,2008
186,Karpuz,1,997205,3810205,2009
187,Karpuz,1,956598,3683103,2010
188,Karpuz,1,979644,3864489,2011
189,Karpuz,1,977322,4022296,2012
190,Karpuz,1,979458,3887324,2013
191,Karpuz,1,954627,3885617,2014
192,Karpuz,1,935458,3918558,2015
193,Karpuz,1,919927,3928892,2016
194,Karpuz,1,904884,4011313,2017
195,Karpuz,1,863610,4031174,2018
196,Karpuz,1,892919,3870515,2019
181,Kavun,1,926350,1750000,2004
182,Kavun,1,925430,1825000,2005
183,Kavun,1,887144,1765605,2006
184,Kavun,1,849185,1661130,2007
185,Kavun,1,854895,1749935,2008
186,Kavun,1,826373,1679191,2009
187,Kavun,1,795713,1611695,2010
188,Kavun,1,800794,1647988,2011
189,Kavun,1,796417,1688687,2012
190,Kavun,1,787687,1699550,2013
191,Kavun,1,791488,1707302,2014
192,Kavun,1,790524,1719620,2015
193,Kavun,1,786632,1854356,2016
194,Kavun,1,774106,1813422,2017
195,Kavun,1,735176,1753942,2018
196,Kavun,1,761919,1777059,2019
181,Sivri Biber,1,327300,710000,2004
182,Sivri Biber,1,326910,744000,2005
183,Sivri Biber,1,311520,775577,2006
184,Sivri Biber,1,303950,725192,2007
185,Sivri Biber,1,306553,734596,2008
186,Sivri Biber,1,305249,752692,2009
187,Sivri Biber,1,318556,816901,2010
188,Sivri Biber,1,315807,879846,2011
189,Sivri Biber,1,330647,910725,2012
190,Sivri Biber,1,331930,946506,2013
191,Sivri Biber,1,313431,907126,2014
192,Sivri Biber,1,313149,919004,2015
193,Sivri Biber,1,316716,967466,2016
194,Sivri Biber,1,303341,945361,2017
195,Sivri Biber,1,290885,930349,2018
196,Sivri Biber,1,295645,902203,2019
181,Salatalık,1,388850,1620000,2004
182,Salatalık,1,373537,1617000,2005
183,Salatalık,1,331231,1665201,2006
184,Salatalık,1,325941,1524003,2007
185,Salatalık,1,325573,1524105,2008
186,Salatalık,1,322573,1582396,2009
187,Salatalık,1,310795,1593844,2010
188,Salatalık,1,310671,1605319,2011
189,Salatalık,1,309449,1603110,2012
190,Salatalık,1,301888,1613771,2013
191,Salatalık,1,307278,1636431,2014
192,Salatalık,1,309449,1687301,2015
